
Number of dataset(s): 1

Number of LHS samplings: 500

Sampling Number: 0 of 500
/home/popp/nas/Python/Venvs/trepr/lib/python3.6/site-packages/scipy/stats/_binned_statistic.py:607: FutureWarning: Using a non-tuple sequence for multidimensional indexing is deprecated; use `arr[tuple(seq)]` instead of `arr[seq]`. In the future this will be interpreted as an array index, `arr[np.array(seq)]`, which will result either in an error or a different result.
  result = result[core]
Total least-squares: 0.02219339525686045
Total least-squares: 0.015275525186550693
Total least-squares: 0.02758667553722626
Total least-squares: 0.028990043607077614
Total least-squares: 0.022087516105639398
Total least-squares: 0.0007344914639190103
Total least-squares: 0.022237291876411686
Total least-squares: 0.022275508235336982
Total least-squares: 0.02219796618628035
Total least-squares: 0.02236391536073786
Total least-squares: 0.0008466203345153853
Total least-squares: 0.0005923115783359507
Total least-squares: 0.0004539517874975598
Total least-squares: 0.000702462835687961
Total least-squares: 0.0006902058221773657
Total least-squares: 0.0006738993552198698
Total least-squares: 0.0006587635380164021
Total least-squares: 0.000643402250742409
Total least-squares: 0.0009934361737903177
Total least-squares: 0.0006147515397152989
Total least-squares: 0.000840311973194478
Total least-squares: 0.0005521826035219641
Total least-squares: 0.0010382230844038832
Total least-squares: 0.0005995186785011287
Total least-squares: 0.000286206579260535
Total least-squares: 0.00046809854770610493
Total least-squares: 0.0004356190725912503
Total least-squares: 0.00040239798920590754
Total least-squares: 0.0003610219416224369
Total least-squares: 0.0003116660518702725
Total least-squares: 0.00025817572005337134
Total least-squares: 0.00016435047811520198
Total least-squares: 0.0011746863775942747
Total least-squares: 0.0005076066894594188
Total least-squares: 0.0003212637970537664
Total least-squares: 0.00022474064221116114
Total least-squares: 0.0002050551087034281
Total least-squares: 0.00020859686357174457
Total least-squares: 0.00016751971631072447
Total least-squares: 0.00016095959944089288
Total least-squares: 0.0002460156979711721
Total least-squares: 0.00017809956032680322
Total least-squares: 0.00011555383062242263
Total least-squares: 0.0001518579147885499
Total least-squares: 0.00021889001649338593
Total least-squares: 0.00020975557435775084
Total least-squares: 0.00024946923766267924
Total least-squares: 0.00017262428919215234
Total least-squares: 0.00024136085207923639
Total least-squares: 0.00016472128447702977
Total least-squares: 0.00027618584683674165
Total least-squares: 0.00016011556772326926
Total least-squares: 0.00028427486776060577
Total least-squares: 0.00017361110174239576
Total least-squares: 0.0001403744477943487
Total least-squares: 0.00014841055753201299
Total least-squares: 0.00011844822173046565
Total least-squares: 0.00013049726300398096
Total least-squares: 0.00011039536115161758
Total least-squares: 0.00012956585725971617
Total least-squares: 0.00014331765007954001
Total least-squares: 0.00014646305393859764
Total least-squares: 0.00012451655708393085
Total least-squares: 9.322939553426967e-05
Total least-squares: 0.0001418260857124622
Total least-squares: 0.0001681141760644354
Total least-squares: 0.00011875178476473471
Total least-squares: 0.00014753067331870382
Total least-squares: 0.00011930962990544271
Total least-squares: 0.00013168356402217253
Total least-squares: 0.00012386834230580424
Total least-squares: 0.00011625345454249368
Total least-squares: 0.00010074422846198187
Total least-squares: 0.0001178737932360187
Total least-squares: 0.00013351911962992345
Total least-squares: 9.552845357726858e-05
Total least-squares: 9.066983986931882e-05
Total least-squares: 0.00010275327861933723
Total least-squares: 0.00010431861305302081
Total least-squares: 9.398411124531468e-05
Total least-squares: 0.00011631285912766904
Total least-squares: 9.225018969064776e-05
Total least-squares: 9.466775997072706e-05
Total least-squares: 0.00011158005971715235
Total least-squares: 8.976641628466357e-05
Total least-squares: 0.0001227163054970439
Total least-squares: 9.14957566540528e-05
Total least-squares: 0.00011089391695779627
Total least-squares: 8.380189214973498e-05
Total least-squares: 0.00010293864534896476
Total least-squares: 8.954702633206174e-05
Total least-squares: 0.00011081586280647784
Total least-squares: 8.563421539920432e-05
Total least-squares: 0.00013369839195135163
Total least-squares: 8.395894513608266e-05
Total least-squares: 0.00010185095612612471
Total least-squares: 8.489755057795336e-05
Total least-squares: 8.404329417903417e-05
Total least-squares: 8.974542029732899e-05
Total least-squares: 8.722551072644384e-05
Total least-squares: 8.356184591325583e-05
Total least-squares: 8.97605773513018e-05
Total least-squares: 0.00010247888606804418
Total least-squares: 8.254685113074664e-05
Total least-squares: 8.497681509310332e-05
Total least-squares: 8.972119268865522e-05
Total least-squares: 8.435346797738472e-05
Total least-squares: 9.138162444191832e-05
Total least-squares: 8.210039759147429e-05
Total least-squares: 8.3406578360571e-05
Total least-squares: 8.791584436208882e-05
Total least-squares: 8.189686053171253e-05
Total least-squares: 8.354451405751075e-05
Total least-squares: 8.398904477494742e-05
Total least-squares: 8.086056031229555e-05
Total least-squares: 8.509998672275933e-05
Total least-squares: 8.408028452051207e-05
Total least-squares: 8.114354116363024e-05
Total least-squares: 8.047577581145329e-05
